POLARITY,TWEET_ID,DATE,QUERY_TYPE,NAME,TWEET
0,1468281949,Tue Apr 07 00:43:43 PDT 2009,NO_QUERY,lucienfoort,hitting the gym! afterwards looking forward to rewiring my studio... yet again 
0,1468281976,Tue Apr 07 00:43:44 PDT 2009,NO_QUERY,fionalvsdarren,doesnt  want to go to work lol 
0,1468281977,Tue Apr 07 00:43:44 PDT 2009,NO_QUERY,coachamy,"@SherriGarrity Sorry I missed responding yesterday  Rochester is in MN, so we are not to far from each other! Dark chocolate rocks!"
0,1468282327,Tue Apr 07 00:43:55 PDT 2009,NO_QUERY,psychosnoopy,i wanna come with them to bohol!!!! 
0,1468282395,Tue Apr 07 00:43:53 PDT 2009,NO_QUERY,its_julia,I have a cold  buee
0,1468283102,Tue Apr 07 00:44:09 PDT 2009,NO_QUERY,chubbi3chink,Ate a piece of angel food cake and another Laffy Taffy 
0,1468283125,Tue Apr 07 00:44:11 PDT 2009,NO_QUERY,adamrothman,"Driving back to La Quinta tomorrow... I should sleep, but I'm oddly wired. "
0,1468283175,Tue Apr 07 00:44:13 PDT 2009,NO_QUERY,pantelee,aaaaaaaaaah still cold outside... at least it's sunny! For now that is 
0,1468283238,Tue Apr 07 00:44:14 PDT 2009,NO_QUERY,jrgalang,is running on low batteries....  http://plurk.com/p/n0blb
0,1468285715,Tue Apr 07 00:45:04 PDT 2009,NO_QUERY,Lbookie89,At shell gas station. lunch break. Tired. 
0,1468285721,Tue Apr 07 00:45:04 PDT 2009,NO_QUERY,pghsteelerjenny,Ready for sleep but having trouble sleeping 
0,1468286113,Tue Apr 07 00:45:12 PDT 2009,NO_QUERY,shelleyplumpton,just burnt my fingers on a hot cup of tea - ouch!!! 
0,1468286242,Tue Apr 07 00:45:14 PDT 2009,NO_QUERY,xamylouise,Hhh~ It's times like THAT when you want things to stay right  Then someone comes and wrecks it.
0,1468286517,Tue Apr 07 00:45:20 PDT 2009,NO_QUERY,nathiuria,"@mileycyrus i have the same problem, but it's 4:43 here... let's see if counting works..1234...56 57 58... 132 133 134... no z's for me! "
0,1468286830,Tue Apr 07 00:45:25 PDT 2009,NO_QUERY,MeganLovesJo, there is no way i can go to school today im way to sick
0,1468286882,Tue Apr 07 00:45:26 PDT 2009,NO_QUERY,jamesisapc,Wikipedia has gone  forever! See what the goverment do its there fualt lets hope donations or something bring it back !!
0,1468286915,Tue Apr 07 00:45:27 PDT 2009,NO_QUERY,jade_ice,Can't seem to get over the dissapointment of haveing absolutly no one notice I am gone. Sad   I must not be boring I must not be boring...
0,1468287128,Tue Apr 07 00:45:32 PDT 2009,NO_QUERY,clairem02,"http://twitpic.com/2y5s9 - He only reminds me of him because he doesn't wash his hair, that's all. Gross, I know! "
0,1468287130,Tue Apr 07 00:45:32 PDT 2009,NO_QUERY,Jimmy_Jojo,Is feeling like dancing in the rain like a pixie......but the rain stopped  ohh well....lol I'll watch flight of the conchords instead
0,1468287156,Tue Apr 07 00:45:35 PDT 2009,NO_QUERY,bariles,just got back from the funeral of a government employee-friend.    http://plurk.com/p/n0bvd
0,1468287473,Tue Apr 07 00:45:40 PDT 2009,NO_QUERY,PamsLove,@deepbluesealove Your beau's not online tonight  bummer for U...And No music either!
0,1468287671,Tue Apr 07 00:45:44 PDT 2009,NO_QUERY,IanB022,Started getting mailshots aimed at pensioners - it's all downhill now 
0,1468287775,Tue Apr 07 00:45:46 PDT 2009,NO_QUERY,mintie,Wishing I could sneak in to watch the Star Trek premiere 
0,1468287881,Tue Apr 07 00:45:48 PDT 2009,NO_QUERY,salogel42,owww.... just hit my elbow really hard on a door 
0,1468288167,Tue Apr 07 00:45:54 PDT 2009,NO_QUERY,ElmosSexy,cant wait 2 c Carter when bak @ skewl hate gettin sick it suks.......blech 
0,1468288203,Tue Apr 07 00:45:54 PDT 2009,NO_QUERY,hell2304,@Best_Flights Need 2 get ass in gear! Wana go away 24/6 bt nt sure where Cairo &amp; UK maybe bt may b able 2 go earlier bt wont no til 8/5 
0,1468288295,Tue Apr 07 00:45:57 PDT 2009,NO_QUERY,JasonWelch,"wow #epicfail on me. I did a search for epicfail and didn't see many entries but apparently, it's widely used. I'm depressed now "
0,1468288564,Tue Apr 07 00:46:03 PDT 2009,NO_QUERY,in_wonderland,"I don't want to be cold in April, but I am "
0,1468288717,Tue Apr 07 00:46:06 PDT 2009,NO_QUERY,andygates,"Noes, my goat-wool socks have worn through "
0,1468289029,Tue Apr 07 00:46:12 PDT 2009,NO_QUERY,HeidiJMess,SO tired but can't sleep 
0,1468289481,Tue Apr 07 00:46:21 PDT 2009,NO_QUERY,dextermixwith,Dropped car off to get exhaust replaced - that's �250 I could do without spending 
0,1468289520,Tue Apr 07 00:46:23 PDT 2009,NO_QUERY,body0project,"School work BORING,  Working on a business law paper right now can't wait till i'm done.  Hopefully tomorrow grrrr...   "
0,1468289922,Tue Apr 07 00:46:31 PDT 2009,NO_QUERY,burke_libbey,Too many assignments 
0,1468289988,Tue Apr 07 00:46:32 PDT 2009,NO_QUERY,nick_s_drew,"@olabini still here, though the site is gone "
0,1468290215,Tue Apr 07 00:46:37 PDT 2009,NO_QUERY,SarahAnnGreen,Got to pause twilight now as nearly at work 
0,1468290274,Tue Apr 07 00:46:39 PDT 2009,NO_QUERY,tamii123,"@hollaglam my fav English teacher, she just had miscarriage.  &amp; u knw wht makes me sad even more? she was going to name her baby Tamara "
0,1468290529,Tue Apr 07 00:46:44 PDT 2009,NO_QUERY,Ms_Lydia,"Anxiously awaiting June 28th, it  can not come soon enough (my graduation ceremony).  Am not looking forward to the 10th end of my break "
0,1468290646,Tue Apr 07 00:46:47 PDT 2009,NO_QUERY,bgmahesh,What is common between Chidambaram and George Bush  ?
0,1468290839,Tue Apr 07 00:46:51 PDT 2009,NO_QUERY,jas0n360,Morning everyone! Stuck in registration for a while then assembley! Nayyy 
0,1468290857,Tue Apr 07 00:46:52 PDT 2009,NO_QUERY,ACTinglikeamama,@Cezzadwen I think that it's pretty standard wherever you go?  Can't find it anywhere in Canberra yet 
0,1468290988,Tue Apr 07 00:46:54 PDT 2009,NO_QUERY,Jizzel09,home with the flu ahhh  suxz well and tired will go to sleep in about an hour or so Goodnites !
0,1468291086,Tue Apr 07 00:46:59 PDT 2009,NO_QUERY,kronos_vano,The first serial about my city so stupid... 
0,1468291173,Tue Apr 07 00:47:01 PDT 2009,NO_QUERY,MATTY_METAL118,@sianllewellyn ive txt you this morning 
0,1468291535,Tue Apr 07 00:47:07 PDT 2009,NO_QUERY,Hollywood_Trey,@LFTA Got me what again? I'm sorry I can't understand ur last tweet 
0,1468291722,Tue Apr 07 00:47:10 PDT 2009,NO_QUERY,bgmahesh,What is common between Chidambaram and George Bush  http://news.oneindia.in/2009/04/07/sikh-journalist-hurls-shoe-at-p-chidambaram.html
0,1468291794,Tue Apr 07 00:47:12 PDT 2009,NO_QUERY,melodyjae,I feel like I should change my picture but I don't think I could part with my bff Audrey Hepburn. 
0,1468292226,Tue Apr 07 00:47:21 PDT 2009,NO_QUERY,Taylerose,"nooooo!! I was doing so good, im not allowed to cry.. ughhh, staying up late makes me think about stuff.. "
0,1468292303,Tue Apr 07 00:47:23 PDT 2009,NO_QUERY,Randalliser,"My forehead is starting to feel like someone has cut a slice out of it. Oh, that's right, someone cut a slice out of my forehead today "
0,1468292332,Tue Apr 07 00:47:23 PDT 2009,NO_QUERY,amyknapp,"@annemarike oh no  owies, when will that happen? "
0,1468292648,Tue Apr 07 00:47:30 PDT 2009,NO_QUERY,D3vilishAngel,Thinking of pay day.....another 3 weeks to go  lol
0,1468292687,Tue Apr 07 00:47:31 PDT 2009,NO_QUERY,SweetThing109,@AllStarNinja my choices are limited since they blocked my HULU.. 
0,1468292740,Tue Apr 07 00:47:32 PDT 2009,NO_QUERY,Mark_Mc,Waiting for my flight. Slumming it in the departure lounge. 
